Recipe ID,Nama Resep,Energi (kj),Energi (kkal),Lemak (g),Lemak Jenuh (g),Lemak Trans (g),Lemak tak Jenuh Ganda (g),Lemak tak Jenuh Tunggal (g),Kolesterol (mg),Protein (g),Karbohidrat (g),Serat (g),Gula (g),Sodium (mg),Kalium (mg),Kategori,Keywords,PrepTime,CookTime,Ingredients,Instructioons,Meal ID
88,Ayam Suwir Kemangi,1314,314,14.41,0.003682,0.0,0.002475,0.003297,83.0,32.93,15.16,5.6,5.2,406.0,949.0,"""Hidangan Utama"",""Lauk Pauk"",""Makan Siang""","""Hidangan ayam gurih dengan rasa kemangi yang fantastis.""",15 menit,20 menit,"""100 gram dada ayam"",""1 utuh sedang tomat"",""5 gram cabai merah atau rawit"",""3 gram kunyit"",""40 gram kemangi"",""1 siung bawang putih"",""28 g bawang merah"",""5 ml olive oil""","""Rebus ayam dan suwir."",""Tumis bawang merah"",""bawang putih dan tomat dengan minyak zaitun."",""Tambahkan sedikit air"",""suwiran ayam"",""kemangi"",""kunyit"",""cabai"",""garam dan merica."",""Siap disajikan.""",2
89,Ayam Suwir Kecap,2059,492,23.02,0.0074379999999999,0.0,0.006931,0.00566,124.0,45.52,22.89,1.8,14.77,1.142,512.0,"""Hidangan Utama"",""Lauk Pauk""","""Tumpukan ayam juicy dilapisi dengan saus lezat.""",10 menit,30 menit,"""150 gram dada ayam"",""1 sdm cabai merah atau rawit"",""1 sdm minyak goreng"",""1 sdm kecap manis"",""10 g kaldu jamur"",""30 gram bawang bombay""","""Rebus/kukus ayam sampai matang."",""Jika sudah matang"",""angkat lalu robek-robek daging ayam menjadi ukuran kecil."",""Cincang bawang bombay. Haluskan cabe rawit."",""Panasan minyak diatas wajan. Tumis bawang bombay dan cabe rawit. Tambahkan kecap"",""kaldu jamur dan garam dan merica."",""Masukkan ayam yang telah disuwir."",""Aduk hingga semua bumbu tercampur rata."",""Sajikan.""",2
90,Suwir Ayam Creamy,1335,319,9.89,0.003992,0.0,0.001484,0.003652,116.0,44.93,9.5,0.2,3.75,786.0,0.3,"""Lauk Pauk"",""Makan Siang"",""Hidangan Utama""","""Enak dan sehat.""",10 menit,30 menit,"""280 gram dada ayam rebus (kulit tidak dimakan)"",""20 gram kaldu jamur"",""10 gram keju cheddar"",""10 gram bawang putih"",""10 gram tomat merah"",""1 sejumput garam laut"",""200 ml non fat milk"",""6 g lada putih bubuk"",""9 ml minyak goreng tropical""","""Rebus dada ayam kemudian suwir."",""Panaskan minyak. Tumis bawang putih hingga kecoklatan."",""Masukan tomat cincang"",""aduk sebentar."",""Masukan dada ayam suwir"",""aduk rata."",""Tuangkan susu non fat."",""Bumbui dengan lada"",""garam"",""dan kaldu jamur."",""Masukan keju"",""aduk kembali.""",2
91,Sup Daging Sapi dengan Kacang Panjang,1031,246,9.66,0.003678,0.212,0.972,0.0040999999999999,56.0,20.84,19.89,3.8,0.0,218.0,629.0,"""Sup"",""Hidangan Utama"",""Makan Siang""","""Sup yang dibumbui dengan sempurna dan memuaskan untuk makan siang atau makan malam.""",20 menit,1 jam,"""100 gram tomat"",""200 gram kacang panjang hijau (dari segar)"",""3 siung bawang putih"",""1 sdt jahe"",""1 mangkok daun bawang"",""100 gram iga sapi (potongan kecil"",""diiris hingga 0.3 cm lemak)"",""250 gram daging sapi (95% tanpa lemak / 5% lemak)"",""4 sedang bawang merah""","""Cuci bersih daging sapi dan iga sapi"",""potong kecil-kecil daging dan masak dengan cara 5-30-7 (rebus 5 menit"",""matikan api"",""diamkan di atas kompor selama 30 menit"",""dan lanjutkan proses memasak dengan merebusnya selama 7 menit lagi)."",""Haluskan bawang merah"",""bawang putih dan jahe."",""Iris kacang panjang"",""tomat dan daun bawang."",""Tumis bumbu halus dengan minyak hingga harum"",""tambahkan air lalu daging sapi dan iga. Biarkan mendidih."",""Setelah mendidih"",""masukkan kacang panjang dan tomat"",""bumbui dengan garam dan kaldu jamur secukupnya."",""Jika sudah matang"",""matikan api dan masukkan daun bawang yang sudah dipotong-potong.""",2
93,Tumis Brokoli Jamur,1182,282,17.9,0.0057599999999999,0.0,0.439,0.006428,66.0,22.3,8.54,2.4,1.72,461.0,594.0,"""Hidangan Utama"",""Lauk Pauk"",""Makan Siang""","""Tumis simpel jamur.""",5 menit,15 menit,"""150 gram daging sapi giling"",""70 gram brokoli"",""13 gram bawang putih"",""3 g margarin"",""113 gram jamur shimeji"",""5 g saos tiram"",""5 ml minyak wijen""","""Tumis bawang putih dengan mentega sampai wangi."",""Masukkan daging dan jamur"",""masak hingga matang."",""Masukkan brokoli."",""Masukkan saus tiram dan minyak wijen"",""tumis hingga matang.""",2
94,Sop,1477,353,14.89,0.004051,0.0,0.003205,0.00408,122.0,28.6,26.47,0.0,11.2,5.066,757.0,"""Sup"",""Makan Siang"",""Hidangan Utama"",""Lauk Pauk""","""Sup hangat diisi dengan protein dan serat.""",10 menit,20 menit,"""51 gram brokoli dimasak (dari segar)"",""17 gram cabai merah atau rawit"",""3 sdt garam"",""36 gram kulit ayam"",""130 gram wortel"",""15 gram bawang putih"",""93 gram tomat merah"",""2 sdt gula pasir"",""15 gram bawang merah"",""22 g jamur enoki"",""10 g bumbu racik sayur sop"",""20 g kaldu jamur"",""6 ml minyak goreng"",""1 porsi udang kukus atau rebus"",""2 1/2 ons"",""tanpa tulang dada ayam rebus""","""Tumis bawang merah"",""bawang putih"",""cabai (optional kalau ingin pedas) menggunakan minyak hingga wangi."",""Masukkan air kedalam tumisan tadi"",""biarkan sampai air mendidih."",""Masukan ayam"",""udang"",""dan sayur-sayuran kedalam air."",""Tambahkan garam"",""gula"",""dan kaldu"",""racik sayur sop sesuai selera lalu tunggu hingga matang.""",2
98,Chicken Ramen Shirataki,1782,426,4.95,0.001479,0.0,0.001057,0.001294,84.0,34.2,60.77,10.1,15.27,0.56,676.0,"""Makan Siang"",""Sup"",""Hidangan Utama""","""Makanan rendah kalori yang sempurna.""",10 Menit,15 Menit,"""100 gram dada ayam (kulit tidak dimakan)"",""50 gram kecambah"",""50 gram wortel"",""1 siung bawang putih"",""40 gram tomat merah"",""1 gelas air"",""1 kecil bawang merah"",""50 g mie kering"",""3 g royco kaldu rasa sapi"",""1 ml minyak goreng""","""Iris ayam hingga tipis tipis."",""Potong-potong tomat dan wortel sesuai keinginan."",""Cincang bawang merah dan bawang putih."",""Panaskan minyak kemudian tumis bawang merah"",""bawang putih"",""dan tomat."",""Masukkan air dan tunggu hingga hampir mendidih."",""Masukkan ayam dan royco perlahan."",""Ketika ayam sudah matang"",""keluarkan ayam dari rebusan."",""Masukkan sayuran dan mie shirataki. Tunggu hingga matang!""",2
106,Pokcoy Ayam Saus Tiram,1368,327,2.66,0.696,5e-05,0.633,0.621,116.0,47.66,25.38,1.6,11.15,1.001,762.0,"""Makan Siang"",""Hidangan Utama""","""Hidangan ayam yang enak dan lezat dengan pokcoy.""",5 Menit,5 Menit,"""1 sejumput lada hitam"",""200 gram daging dada ayam (ayam pedaging)"",""1 siung bawang putih"",""1 sdt jahe"",""100 ml air"",""150 gram pakcoy"",""15 ml kecap manis light"",""10 g tepung pati jagung"",""15 g saos tiram"",""1 bawang bombay""","""Larutkan maizena dengan sedikit air."",""Didihkan air dan rebus pokcoy selama 2 menit. Hapus dari panas dan tiriskan."",""Dalam wajan panas"",""tumis bawang putih"",""jahe"",""dan bawang bombay hingga harum."",""Masukkan ayam yang sudah dipotong-potong ke dalam wajan dan masak hingga berubah warna."",""Tambahkan saus tiram"",""kecap asin"",""merica"",""air"",""dan tepung maizena yang sudah dilarutkan."",""Aduk"",""biarkan bumbu meresap dan angkat dari api."",""Tata pokcoy di piring dan tuangkan di atas ayam yang sudah dimasak.""",2
107,Chicken Deopbap,1791,428,25.95,0.006178,0.0,0.006378,0.011016,237.0,26.48,26.96,8.9,8.59,1.655,1.069,"""Hidangan Utama"",""Makan Siang""","""Paha ayam telur dengan saus gurih.""",10 Menit,15 Menit,"""1 kecil chicken thigh"",""1 sedang egg"",""1 sdm soy sauce"",""1 kecil young green onions"",""1 1/2 cups cooked young green onion""","""Tumis ayam tanpa minyak sampai kecoklatan."",""Masukan bawang bombay"",""tumis sampai layu dgn ayam td"",""masukan air secukupnya tunggu mendidih."",""Masukan telur yg sudah dikocok lepas"",""lalu masukan kecap asin dan daun bawang. Bumbui dengan garam dan merica sesuai selera. Tutup wajan sampai telur matang.""",2
108,Kwetiau Ayam,1347,322,9.43,0.001895,0.0,0.002619,0.004215,16.0,9.9,48.97,0.5,23.91,2.387,163.0,"""Hidangan Utama""","""Hidangan ini benar-benar enak dan cepat dibuat di rumah.""",15 Menit,10 Menit,"""15 gram dada ayam"",""2 gram bawang bombay dimasak"",""1/2 sdt garam"",""2 ml minyak goreng"",""100 gram kwetiau"",""1 sendok saus sambal"",""2 sdm kecap manis""","""Panaskan minyak dalam wajan dan tumis bawang bombay."",""Masukkan ayam yg sudah di potong"",""lalu tumis sebentar."",""Tambahkan kwetiau dan bumbunya."",""Campur dengan baik. Angkat dari api setelah selesai. Tambahkan lauk yang diinginkan.""",2
111,Semur Tahu,885,212,7.22,0.00235,0.0,0.001429,0.0033039999999999,0.0,5.84,32.8,2.5,21.27,0.86,394.0,"""Makan Siang"",""Hidangan Utama""","""Rebusan tahu ini mengenyangkan dan sangat bergizi.""",15 Menit,10 Menit,"""2 siung bawang putih"",""1 utuh sedang tomat merah"",""1 gelas air"",""3 kecil bawang merah"",""100 gram tahu"",""2 sdm kecap manis"",""2 sendok saus sambal"",""1 takaran royco ayam"",""1 sendok makan minyak goreng sawit"",""20 gram cabai merah besar""","""Dalam wajan panas dengan minyak"",""tumis bawang putih"",""bawang merah"",""dan cabai merah."",""Tambahkan tomat cincang"",""air dan kecap."",""Terakhir masukkan tahu dan saus sambal. Campur dengan baik."",""Masak hingga kental dan tambahkan royco. Aduk dan pindahkan ke dalam mangkuk.""",2
112,Tumis Tahu Telur Wortel,1054,252,5.75,0.738,0.0,0.001955,0.002606,0.0,16.88,39.01,10.1,15.85,151.0,1.207,"""Hidangan Utama"",""Lauk Pauk"",""Makan Siang""","""Tumis sayuran kaya protein.""",5 Menit,15 Menit,"""100 gram kacang panjang hijau"",""1 besar putih telur"",""100 gram wortel"",""1 siung bawang putih"",""1 utuh sedang tomat merah"",""2 kecil bawang merah"",""100 gram tahu""","""Tumis bawang putih bawang merah dan bawang putih yang sudah dicincang halus."",""Masukkan tomat yang sudah di iris."",""Tumis sampai layu dan wangi tambahkan"",""garam secukupnya."",""Kemuadian masukkan air sedikit lalu masukkan tahu dan putuh telur."",""Setelah itu masukkan kacang dan wortel tumis sampai matang.""",2
114,Tahu Goreng Telur,789,188,16.69,0.0066349999999999,0.0,0.716,0.001229,46.0,4.51,6.92,1.1,2.65,1.544,148.0,"""Lauk Pauk"",""Makanan Pembuka"",""Hidangan Utama""","""Ini sangat mudah dibuat dan merupakan hidangan pembuka yang enak serta hidangan utama dengan nasi.""",10 Menit,20 Menit,"""2 sedang telur"",""1 sdm cabai merah atau rawit"",""5 sdt garam"",""2 siung bawang putih"",""4 sedang bawang merah"",""250 gram tahu"",""1 takaran royco ayam"",""125 ml minyak goreng 2x penyaringan""","""Haluskan bawang merah"",""bawang putih"",""dan cabai. Campur mereka dengan baik."",""Tahu dihaluskan lalu masukkan semua bahan kecuali minyak."",""Panaskan minyak dalam wajan dan goreng sampai berwarna cokelat keemasan.""",2
116,Cumi Lada Hitam,448,107,3.36,0.001282,0.0,0.687,0.001092,175.0,12.17,6.46,0.6,2.26,0.1,272.0,"""Hidangan Utama"",""Makan Siang""","""Dibuat spesial dengan cumi segar.""",5 Menit,15 Menit,"""300 gram cumi-cumi"",""50 ml air"",""2 tomat ceri"",""1 sendok makan minyak goreng"",""100 gram bawang bombay"",""1 sendok saus lada hitam"",""50 gram cabai merah besar""","""Belah bawang bombay menjadi dua dan Iris memanjang setengahnya dan tumis dengan minyak sampai harum."",""Masukan cumi"",""cabai"",""saos lada hitam dan air."",""Kemudian masukan tomat tumis semuanya hingga masak.""",2
118,Tumis Tahu dan Tuna,1310,313,18.11,0.001803,0.0,0.005443,0.009809,18.0,17.9,0.0,0.0,7.33,1.783,669.0,"""Lauk Pauk"",""Hidangan Utama""","""Kaya akan hidangan protein.""",5 Menit,15 Menit,"""10 gram cabai merah atau rawit"",""1/2 sdt garam"",""2 siung bawang putih"",""2 kecil bawang merah"",""57 1/2 gram tahu"",""43"",""8 gram ikan tongkol"",""1 sdm minyak kanola"",""1 takaran royco ayam""","""Iris semua cabai"",""bawang merah dan bawa putih. Lalu tumis dengan minyak kanola."",""Potong dadu tahu dan suwir ikan tongkol. Lalu"",""masukan ke bumbu yang sudah di tumis."",""Tumis dan masukan garam serta royco secukupnya. Lalu hidangkan.""",2
119,Bulgogi,2948,704,33.82,0.013728,0.0,0.002048,0.014515,109.0,35.52,65.6,0.0,51.62,3.47,764.0,"""Hidangan Utama""","""Makanan lezat dan beraroma cocok untuk makan siang atau makan malam.""",40 Menit,15 Menit,"""250 gram daging sapi"",""1 sejumput lada hitam"",""3 sdm saus tiram"",""10 sdm saus tomat"",""70 ml kecap manis"",""3 g lada putih bubuk"",""20 ml minyak goreng"",""100 gram bawang bombay"",""15 ml kecap asin""","""Iris tipis daging sapi dan bawang bombay. Masukkan ke dalam mangkuk dan tambahkan semua bumbu."",""Marinasi selama 30 menit atau semalaman."",""Dalam wajan yang sudah dipanaskan sebelumnya"",""tumis daging sapi yang sudah diasinkan"",""sering diaduk atau dibalik sesering yang Anda suka sampai matang."",""Sajikan dengan telur dan beberapa sayuran.""",2
124,Spaghetti Gandum dengan Saus Tomat,1054,252,7.95,0.002095,0.0,0.001786,0.002721,213.0,12.42,34.01,3.8,12.69,686.0,613.0,"""Hidangan Utama""","""Hidangan pasta yang mudah dan memuaskan.""",5 Menit,10 Menit,"""1 besar telur"",""50 gram spageti gandum"",""100 gram saus spageti tanpa daging"",""1 siung bawang putih"",""1 gelas air"",""1 kecil bawang merah"",""20 ml susu uht low fat""","""Rebus air hingga mendidih beri sedikit garam. Masak spaghetti gandum dan tiriskan dalam saringan."",""Tumis bawang bombay di atas granite teflon"",""tambahkan saus spageti tomat dan aduk rata."",""Tambahkan spageti dan aduk. Tambahkan air sedikit demi sedikit."",""Tambahkan telur dan susu rendah lemak dan aduk sampai sedikit mengental."",""Pindahkan ke piring dan sajikan dengan mentimun"",""opsional.""",2
128,Cumi Hitam,1165,278,12.43,0.004793,0.0,0.005448,0.004363,355.0,25.76,16.89,2.6,3.22,0.75,643.0,"""Lauk Pauk"",""Hidangan Utama"",""Makan Siang""","""Cumi hitam pedas cabe hijau.""",10 Menit,15 Menit,"""457 gram cumi-cumi"",""21 gram cabai merah atau rawit"",""1/2 sdt garam"",""37 gram bawang putih"",""47 gram bawang merah"",""1 sachet sweetener classic"",""3 sdm saos tiram"",""30 ml minyak goreng"",""51 gram cabai merah besar""","""Potong potong cumi sesuai selera"",""iris bawang merah"",""bawang putih dan cabai."",""Panaskan minyak lalu tumis bawang hingga layu"",""masukkan cabai beri garam"",""gula dan saus tiram."",""Masukkan cumi aduk aduk hingga rata dan beri air."",""Masak selama 5 menit lalu hidangkan.""",2
130,Pakcoy dengan Bawang Putih,808,193,14.68,0.004673,0.0,0.005956,0.0028,0.0,1.72,14.22,1.5,0.0,2.629,236.0,"""Hidangan Utama"",""Lauk Pauk""","""Tumis Pakcoy dengan bawang putih adalah resep yang mudah dan sehat.""",5 Menit,15 Menit,"""1 sdt garam"",""1 sdt minyak wijen"",""4 siung bawang putih"",""1 sdt gula pasir"",""1 sdm minyak goreng"",""150 gram pakcoy"",""3 g lada putih bubuk"",""5.8 g saos tiram""","""Tumis bawang putih dengan minyak goreng."",""Tambahkan saus tiram"",""garam"",""merica. Rebus pakcoy."",""Tiriskan pakcoy"",""siram dengan kuah.""",2
134,Chicken Teriyaki,1272,304,3.69,0.951,0.0,0.849,0.001098,72.0,31.57,32.81,5.2,15.48,2.949,864.0,"""Hidangan Utama"",""Makan Siang""","""Makanan mudah dan sehat yang sempurna untuk hari yang sibuk.""",5 Menit,10 Menit,"""86 gram chicken breast (skin not eaten)"",""1 cup chopped broccoli"",""1 siung garlic"",""1 sedang onions"",""1 kecil scallions or spring onions"",""50 gram enoki mushrooms"",""3 g lada putih bubuk"",""1 sdt boncabe level 15"",""22 ml saus teriyaki""","""Panggang ayam sampai setengah matang"",""masukkan bawang merah"",""bawang putih"",""tumis."",""Masukkan brocoli dan teriyaki saus"",""boncabe"",""lada dan aduk sampai layu."",""Masukkan jamur enoki dan scallions"",""masak.""",2
137,Bihun Jamur,1812,433,12.2,0.003231,0.00015,0.0027559999999999,0.004311,252.0,25.45,55.15,4.8,14.35,2.4,637.0,"""Hidangan Utama""","""Mie ini luar biasa ringan dan beraroma tinggi.""",10 Menit,15 Menit,"""1 besar egg"",""50 gram cooked spinach (from fresh)"",""5 gram garlic"",""50 gram shiitake mushrooms (stir-fried)"",""100 gram vermicelli"",""50 gram chicken sausage"",""1 sdm kecap manis"",""1.5 g kaldu rasa jamur"",""1 sdm kecap asin""","""Tumis bawang putih."",""Masukkan sosis"",""jamur. Angkat."",""Orek telor"",""angkat."",""Tumis bayam"",""angkat."",""Rebus bihun"",""tiriskan."",""Tumis bihun"",""masukkan kecap asin"",""kecap manis"",""dan kaldu jamur Masukkan sosis"",""jamur"",""telor"",""bayam."",""Masukkan sosis"",""jamur"",""telor"",""bayam."",""Bumbui dengan garam dan merica sesuai selera.""",2
142,Tempe Teriyaki,2025,484,19.87,0.006229,0.0,0.004863,0.007003,0.0,18.94,51.74,0.5,39.75,11.626,455.0,"""Lauk Pauk"",""Hidangan Utama"",""Makan Siang""","""Resep ini dibuat dengan tempe"",""pilihan protein nabati yang luar biasa.""",5 Menit,15 Menit,"""1 siung bawang putih"",""1/2 iris daun bawang"",""10 gram lada pisang"",""100 gram tempe"",""1 sendok saus sambal"",""1 sendok makan minyak goreng"",""100 ml saus teriyaki""","""Potong tempe lalu panggang tempe di api kecil tanpa minyak."",""Lalu tumis bawang putih dengan minyak"",""masukan saos teriyaki dan saos sambal makan dan masukkan sejumput lad."",""Tambahkan air secukupnya lalu masukkan tempe yg sudah dipanggamg tadi"",""diamkan sampai bumbu meresap dengan api kecil."",""Jika bumbu sudah meresap dan mengering taruh tempe di atas piring dan taburi daun bawang. Tempe siap di sajikan.""",2
143,Tumis Ayam Tahu Telur,1929,461,27.12,0.00856,0.0,0.007515,0.007908,316.0,47.59,4.41,0.3,1.65,1.012,464.0,"""Lauk Pauk"",""Hidangan Utama"",""Makan Siang""","""Menu simple dan mudah bikinnya.""",5 Menit,15 Menit,"""125 gram dada ayam"",""1 besar telur"",""2 siung bawang putih"",""1 sejumput garam laut"",""1 sdm minyak goreng"",""50 gram tahu"",""50 ml aqua"",""1 sdm saos tiram""","""Potong-potong dadu ayam dan tahu."",""Geprek bawang putih"",""rajang."",""Tumis bawang putih dengan minyak goreng sampai harum."",""Masukkan ayam"",""tahu dan air"",""masak sampai setengah matang"",""masukkan saus tiram."",""Tumis ayam dan tahu sampai matang"",""masukkan telur"",""tumis sampai telur setengah matang"",""tes rasa"",""kalau kurang asin bisa tambah garam sedikit"",""tumis sampai matang"",""sajikan.""",2
144,Oseng Tahu Buncis Telur,322,77,4.9,0.001328,0.0,0.001584,0.001469,37.0,4.89,4.68,1.8,1.1,304.0,162.0,"""Lauk Pauk"",""Makan Siang""","""Makanan lezat lainnya yang mudah disiapkan.""",10 Menit,20 Menit,"""1 sedang telur"",""1 sdm cabai merah atau rawit"",""200 gram buncis"",""1 siung bawang putih"",""1 sdm minyak goreng"",""181 gram tahu"",""4 g royco ayam"",""3 ml saori saus teriyaki""","""Panaskan minyak lalu masukkan bawang putih cincang."",""Orak-arik telur"",""tambahkan tahu potong dadu dan dan sedikit air."",""Tambahkan saus teriyaki"",""royco"",""dan cabai dan kacang buncis. Masak sebentar hingga matang.""",2
146,Capcay Toge,837,200,5.51,0.001974,0.0,0.00092,0.0025299999999999,0.0,20.3,23.42,0.0,7.38,532.0,376.0,"""Lainnya"",""Makan Siang"",""Hidangan Utama"",""Lauk Pauk""","""Sama-sama gurih dan manis.""",5 Menit,15 Menit,"""50 gram kacang panjang hijau"",""1 tongkol/bonggol besar jagung"",""1 sejumput garam"",""50 gram wortel"",""500 ml air"",""1 sdt gula pasir"",""1 kecil bawang merah"",""100 g sayur toge"",""3 g royco ayam"",""10 ml minyak goreng""","""Tumis bawang merah yang sudah diiris-iris dengan minyak panas."",""Lalu masukkan wortel"",""toge"",""jagung"",""dan kacang panjang. Tambahkan air sekitar 500 ml."",""Lalu tambahkan bumbu-bumbu penyebab seperti garam"",""gula dan royco (sesuai selera)."",""Lalu tunggu air menyusut menjadi setengah."",""Setelah itu siap dihidangkan.""",2
148,Spaghetti,2900,693,26.37,0.01045,0.0,0.004229,0.0078479999999999,237.0,44.5,71.94,7.5,10.89,1.751,1.104,"""Makan Siang"",""Hidangan Utama""","""Putaran baru untuk hidangan pasta favorit Anda.""",15 Menit,20 Menit,"""115 gram udang"",""142 gram jamur dimasak (lemak ditambahkan dalam masakan)"",""3 gram kaldu jamur"",""2 gram cabai merah atau rawit"",""100 gram wortel"",""3 gram bawang putih"",""2 gelas air"",""2 sejumput garam laut"",""20 g quick melt keju"",""15 ml minyak goreng tropical"",""60 g spaghetti gluten free"",""30 gram bawang bombay""","""Siapkan bahan bawang puith"",""bombai dan cabe rawit. Cuci bersih lalu di chop."",""Rebus spagheti tambahkan sejumput garam dan sedikit minyak. Rebus spagheti hingga aldente kira-kira 8 menit."",""Bersihkan udang hingga bersih dan tdk amis lagi."",""Iris wortel berbentuk korek api dan bersihkan jamur."",""Tumis semua bahan bawang putih"",""bombai dan rawit lalu masukkan udang"",""tumis hingga setengah matang lalu masukkan wortel dan setelah itu jamur."",""Tambahkan air rebusan spagheti lalu di tumis dan masukkan spagheti tadi."",""Masak sebentar lalu tambahkan keju yang sudah diparut."",""Siap disajikan.""",2
150,Tempe Tahu Orek,20,5,0.29,0.081,0.0,0.132,0.051,0.0,0.18,0.39,0.0,0.22,7.0,3.0,"""Lauk Pauk"",""Hidangan Utama""","""Dimasak dengan saus pedas manis yang lezat.""",5 Menit,15 Menit,"""16 gram bawang putih"",""132 gram tempe"",""166 gram tahu goreng"",""25 gram bawang merah"",""45 ml minyak goreng"",""90 ml kecap manis"",""30 g saus sambal""","""Potong potong tempe"",""dan tahu goreng."",""Iris bawang merah dan bawang putih."",""Panaskan minyak kemudian tumis bawang merah dan bawang putih yang sudah di iris tipis."",""Setelah bawang merah dan bawang putih setengah matang masukkan tempe kemudian goreng hingga tempe setengah matang."",""Masukkan tahu"",""kemudian aduk dan masukkan kecap dan sambal masak hingga matang.""",2
151,Tumis Sawi Tahu,1885,450,38.64,0.003932,0.0,0.014256,0.0103089999999999,0.0,14.88,13.87,3.5,3.04,0.7,0.26,"""Hidangan Utama"",""Lauk Pauk""","""Irisan sawi dan tahu goreng yang ditumis.""",10 Menit,15 Menit,"""200 gram greens"",""4 sdm vegetable oil"",""2 siung garlic"",""1 sedang onions"",""250 g tahu kuning""","""Goreng tahu menang minyak"",""sisihkan."",""Tumis bawang bombay dan bawang putih sampai harum"",""tambahkan garam dan merica."",""Masukkan sawi hijau yg sudah dipotong"",""aduk sampai sawi layu."",""Masukan tahu goreng yang sudah dipotong.""",2
156,Udang Tumis Brokoli,1396,334,5.72,0.00123,0.0,0.002008,0.766,429.0,58.79,8.87,1.2,2.95,1.845,504.0,"""Makan Siang"",""Hidangan Utama""","""Udang dan brokoli yang lezat.""",20 Menit,20 Menit,"""250 sedang udang"",""3 sdt bubuk cabai"",""1 sdm bawang putih bubuk"",""1 sdt garam"",""150 gram brokoli"",""10 g bawang merah goreng"",""2 g royco ayam"",""1 sdm kecap manis"",""10 gram bawang bombay""","""Rebus udang sampai setengah matang dgn air."",""Masukkan brokoli dan bumbu."",""Rebus sehingga cukup air.""",2
157,Sup Tahu Wortel,791,189,9.43,0.001248,0.0,0.003269,0.004042,0.0,14.65,17.51,5.7,4.79,2.387,665.0,"""Makan Siang""","""Salmon dipanggang di atas daun bawang dan bawang merah.""",10 Menit,10 Menit,"""2 sdm cabai merah atau rawit"",""1 sdt garam"",""50 gram wortel"",""30 gram kembang kol"",""2 siung bawang putih"",""150 gram tahu""","""Potong kembang kol"",""wortel dan tahu sesuai kreasi."",""Potong bawang putih dan cabai."",""Masak menggunakan api sedang selama 10 menit.""",2
164,Bihun Rebus,778,186,1.77,0.286,0.0,0.253,0.078,0.0,1.38,31.14,0.0,0.84,1.46,126.0,"""Hidangan Utama""","""Bihun rebus dengan sawi.""",5 Menit,10 Menit,"""1 sdm cabai merah atau rawit"",""1 sdt garam"",""2 siung bawang putih"",""1 gelas air"",""1 porsi bawang merah"",""2"",""75 ml minyak jagung"",""60 g bihun jagung"",""2 g royco ayam"",""3 g lada putih bubuk"",""40 gram sawi hijau""","""Rebus bihun setengah matang dengan sedikit minyak."",""Cuci dan potong bawang merah"",""bawang putih"",""cabai rawit"",""sawi hijau"",""dan seledri."",""Oseng bawang merah"",""bawang putih"",""dan cabai rawit dengan sedikit minyak cco."",""Tambahkan air secukupnya."",""Bila sudah mendidih masukkan sawi hijau"",""dan seledri. Setelah 1 menit masukkan bihun yang sudah setengah matang."",""Masukkan bumbu : garam"",""lada"",""dan royco secukupnya. Hidangkan.""",2
166,Stim Ikan Ala Chinese,561,134,1.27,0.259,0.0,0.502,0.221,0.07,23.49,8.14,0.0,1.19,1.567,552.0,"""Hidangan Utama""","""Stim ikan menggunakan ikan senangin yang dicampurkan dengan saos ala chinese.""",3 Menit,10 Menit,"""120 gram ikan"",""1/4 hot chili pepper"",""1 siung bawang putih"",""1/4 mangkok"",""dicincang daun bawang (loncang)"",""0"",""65 g stevia sweetener"",""23 g saus tiram"",""15 ml kecap asin""","""Masak saos ala chinese dengan cara pertama oseng bawang putih dan jahe."",""Tambahkan air secukupnya."",""Tambahkan kecap asin"",""Tambahkan saos tiram."",""Tunggu hingga mendidih."",""Jika ikan sudah masak siram dengan saos ala chinese."",""Tunggu hingga mendidih."",""Stim ikan senangin dengan daun bawang"",""cabai merah dan cabai hijau di atasnya.""",2
